id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,blocked_x,blocked_y,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Length,PassEndX,Zone,PassEndY,Angle,Longball,ThrowIn,Defensive,Foul,OppositeRelatedEvent,Offensive,FreekickTaken,HeadPass,Chipped,LeftFoot,Cross,Head,DirectFreekick,OutOfBoxCentre,GoalMouthY,GoalMouthZ,RightFoot,MissHigh,GoalKick,StandingSave,LayOff,MissLeft,MissRight,CornerTaken,PlayerCaughtOffside,IndirectFreekickTaken,KeeperThrow,IntentionalAssist,ShotAssist,KeyPass,BoxRight,FirstTouch,BlockedX,BlockedY,RelatedEventId,RegularPlay,Assisted,LowCentre,ParriedDanger,Hands,DivingSave,KeeperSaveInTheBox,BigChance,SmallBoxCentre,OverRun,Yellow,SetPiece,BoxCentre,Blocked,OutfielderBlock,Volley,HighLeft,BigChanceCreated,HighRight,Penalty,KeeperMissed,LowLeft,FromCorner,IndividualPlay,BoxLeft,PlayerPosition,JerseyNumber,FormationSlot,LowRight,LeadingToAttempt,Throughball,Feet,ParriedSafe,FastBreak,Collected,KeeperSaveObox
2886294151.0,22,2,54.0,1469,80.8,23.9,2,"[91, 120, 29, 35, 38, 217, 218]",True,431346.0,80.6,22.5,,,,,,,,,,FirstHalf,Pass,Unsuccessful,1.0,80.6,Center,22.5,4.5,,,,,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294149.0,35,2,54.0,495,19.4,77.5,2,"[91, 60]",True,392361.0,,,,,,,,,,,,FirstHalf,BlockedPass,Successful,,,Back,,,,,1.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294155.0,23,2,57.0,1469,87.0,9.4,2,[55],False,442971.0,,,,,,,,,,,,FirstHalf,Challenge,Unsuccessful,,,Right,,,,,,,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294153.0,36,2,57.0,495,13.0,90.6,2,"[91, 54]",True,392361.0,,,,,,,,,,,,FirstHalf,TakeOn,Successful,,,Back,,,,,1.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294157.0,37,2,57.0,495,18.2,96.4,2,[93],False,392361.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294159.0,38,2,57.0,495,18.2,96.4,2,"[91, 117, 30, 36, 38, 216, 218]",True,392361.0,37.1,95.2,,,,,,,,,,FirstHalf,Pass,Successful,19.9,37.1,Back,95.2,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294167.0,39,3,3.0,495,36.1,87.3,3,"[91, 117, 30, 35, 38, 215, 218]",True,437387.0,29.0,60.4,,,,,,,,,,FirstHalf,Pass,Successful,19.8,29.0,Back,60.4,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294169.0,40,3,6.0,495,30.7,52.0,3,"[91, 117, 30, 36, 38, 216, 218]",True,248144.0,42.8,26.5,,,,,,,,,,FirstHalf,Pass,Successful,21.5,42.8,Back,26.5,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294171.0,41,3,11.0,495,46.5,33.0,3,"[91, 117, 30, 35, 37, 216, 218]",True,317541.0,41.0,41.7,,,,,,,,,,FirstHalf,Pass,Successful,8.3,41.0,Back,41.7,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294173.0,42,3,13.0,495,40.4,40.9,3,"[91, 117, 30, 35, 37, 216, 218]",True,248144.0,37.5,69.4,,,,,,,,,,FirstHalf,Pass,Successful,19.6,37.5,Back,69.4,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294175.0,43,3,15.0,495,37.5,70.6,3,"[91, 117, 30, 36, 37, 216, 218]",True,362434.0,46.7,93.6,,,,,,,,,,FirstHalf,Pass,Successful,18.4,46.7,Back,93.6,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294177.0,44,3,20.0,495,63.5,82.3,3,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,392361.0,69.4,71.7,,,,,,,,,,FirstHalf,Pass,Successful,9.5,69.4,Center,71.7,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294179.0,45,3,23.0,495,69.3,70.0,3,"[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,404776.0,91.5,78.9,,,,,,,,,,FirstHalf,Pass,Successful,24.1,91.5,Left,78.9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
