id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndY,Length,Zone,PassEndX,Longball,ThrowIn,Chipped,Foul,OppositeRelatedEvent,Offensive,Defensive,FreekickTaken,LayOff,StandingSave,MissLeft,ShotAssist,Cross,CornerTaken,RightFoot,IntentionalAssist,BigChanceCreated,KeyPass,FirstTouch,GoalMouthY,LowRight,SmallBoxRight,BigChance,BlockedY,BlockedX,Assisted,Head,RelatedEventId,GoalMouthZ,FromCorner,ParriedSafe,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,MissRight,LeftFoot,Blocked,BoxCentre,LowCentre,ThrowinSetPiece,OutfielderBlock,SetPiece,GoalKick,HeadPass,IndividualPlay,BoxLeft,RegularPlay,OverRun,PlayerCaughtOffside,IndirectFreekickTaken,Yellow,OneOnOne,LowLeft,FastBreak,BoxRight,Feet,KeeperThrow,OutOfBoxCentre,BlockedCross,MissHigh,DirectFreekick,OutOfBoxDeepLeft,Volley,HighRight,Collected,LeadingToAttempt,DeepBoxLeft,PlayerPosition,JerseyNumber,FormationSlot,HighLeft,DivingSave,LastMan,Penalty,KeeperSaved,AerialFoul,LeadingToGoal,HighCentre,SmallBoxCentre,SixYardBlock,SmallBoxLeft,HighClaim,OutOfBoxRight,KeeperSaveObox,ParriedDanger
2890851563.0,16,1,55.0,495,46.2,53.8,1,"[91, 117, 30, 35, 38, 216, 218]",True,486734.0,43.2,13.9,,,,,,,,,,FirstHalf,Pass,Successful,4.6,13.9,27.3,Back,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851593.0,17,1,59.0,495,43.2,13.9,1,"[91, 117, 30, 35, 37, 216, 218]",True,320834.0,35.5,29.5,,,,,,,,,,FirstHalf,Pass,Successful,2.22,29.5,13.3,Back,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851623.0,18,2,1.0,495,33.9,34.5,2,"[91, 117, 30, 36, 37, 216, 218]",True,362434.0,34.2,65.2,,,,,,,,,,FirstHalf,Pass,Successful,1.56,65.2,20.9,Back,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851643.0,19,2,4.0,495,34.3,65.4,2,"[91, 117, 30, 36, 37, 216, 218]",True,137512.0,38.8,90.0,,,,,,,,,,FirstHalf,Pass,Successful,1.3,90.0,17.4,Back,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851711.0,20,2,7.0,495,39.4,92.1,2,"[91, 117, 30, 35, 38, 215, 218]",True,349932.0,27.8,82.2,,,,,,,,,,FirstHalf,Pass,Successful,3.65,82.2,13.9,Back,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851725.0,21,2,13.0,495,27.7,86.1,2,"[91, 120, 124, 128, 36, 37, 217, 218]",True,137512.0,66.9,100.0,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.24,100.0,42.4,Left,66.9,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851811.0,28,2,22.0,957,24.0,0.0,2,"[91, 212, 35, 37, 215]",True,415277.0,19.8,18.2,,,,,,,,,,FirstHalf,Pass,Successful,1.89,18.2,14.0,Back,19.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851843.0,29,2,27.0,957,27.1,30.3,2,"[91, 117, 30, 35, 37, 215, 218]",True,467913.0,25.0,59.4,,,,,,,,,,FirstHalf,Pass,Successful,1.68,59.4,19.9,Back,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851891.0,30,2,29.0,957,25.3,61.1,2,"[91, 117, 30, 36, 38, 215, 218]",True,296319.0,26.5,36.0,,,,,,,,,,FirstHalf,Pass,Successful,4.79,36.0,17.1,Back,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851945.0,31,2,36.0,957,27.4,38.3,2,"[91, 117, 30, 35, 37, 215, 218]",True,467913.0,27.1,58.2,,,,,,,,,,FirstHalf,Pass,Successful,1.59,58.2,13.5,Back,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851967.0,32,2,41.0,957,35.2,56.3,2,"[91, 117, 30, 35, 38, 216, 218]",True,296319.0,34.8,34.2,,,,,,,,,,FirstHalf,Pass,Successful,4.68,34.2,15.0,Back,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851985.0,33,2,44.0,957,34.7,34.0,2,"[91, 117, 30, 35, 37, 215, 218]",True,467913.0,29.5,56.7,,,,,,,,,,FirstHalf,Pass,Successful,1.91,56.7,16.4,Back,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
