id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Zone,Angle,Length,PassEndY,PassEndX,Longball,ThrowIn,HeadPass,Chipped,Offensive,OppositeRelatedEvent,Defensive,LeadingToAttempt,OutOfBoxCentre,RegularPlay,BlockedY,BlockedX,Blocked,RightFoot,GoalMouthY,LowLeft,IndividualPlay,GoalMouthZ,OutfielderBlock,LayOff,Foul,FreekickTaken,StandingSave,ShotAssist,KeyPass,Assisted,BoxRight,RelatedEventId,MissLeft,LeftFoot,GoalKick,Cross,Head,OverRun,DivingSave,Hands,ParriedSafe,KeeperSaveObox,MissRight,CornerTaken,IntentionalAssist,BoxCentre,FirstTouch,SetPiece,BigChanceCreated,BigChance,LastMan,Yellow,DirectFreekick,MissHigh,BoxLeft,KeeperSaveInTheBox,AerialFoul,Volley,FastBreak,LowRight,KeeperThrow,HighClaim,HighRight,FromCorner,SmallBoxRight,LowCentre,PlayerPosition,JerseyNumber,FormationSlot,Throughball,KeeperMissed,Penalty,PenaltyShootoutConcededGK,KeeperSaved
2889529081.0,375,39,0,495,80.0,84.0,39,"[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,404776.0,79.0,72.3,,,,,,,,,,FirstHalf,Pass,Successful,Center,4.58,8.0,72.3,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529093.0,376,39,2,495,79.0,72.3,39,"[91, 119, 117, 30, 123, 205, 40, 46, 36, 38, 217, 218]",True,427283.0,86.2,69.7,,,,,,,,,,FirstHalf,Pass,Successful,Center,6.05,7.8,69.7,86.2,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529111.0,378,39,3,495,88.4,64.6,39,"[91, 9, 10, 1, 3, 13]",True,404776.0,,,98.9,50.0,15.2,52.6,True,376.0,427283.0,,,FirstHalf,SavedShot,Successful,Center,,,,,,,,,,301.0,,,,1.0,50.0,98.9,,,52.6,1.0,,15.2,,,,,,,,1.0,,376.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2889529133.0,301,39,4,977,2.8,44.0,39,"[91, 109, 113, 112, 83, 77, 79, 81]",True,458315.0,,,,,,,,,,,,FirstHalf,Save,Successful,Back,,,,,,,,,,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2889529169.0,302,39,8,977,10.6,27.0,39,"[91, 94, 95, 215]",True,262409.0,28.9,11.1,,,,,,,,,,FirstHalf,Clearance,Successful,Back,5.77,22.0,11.1,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529155.0,379,39,9,495,72.6,88.5,39,"[91, 120, 29, 139, 36, 38, 217, 218]",True,349932.0,78.1,67.2,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Center,5.09,15.6,67.2,78.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529171.0,303,39,11,977,30.9,22.4,39,[93],False,299451.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529219.0,304,39,12,977,29.0,22.4,39,"[91, 117, 30, 35, 37, 215, 218]",True,299451.0,11.5,24.7,,,,,,,,,,FirstHalf,Pass,Successful,Back,3.06,18.4,24.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529225.0,305,39,16,977,12.1,15.6,39,"[91, 118, 120, 29, 36, 38, 215, 218]",True,262409.0,14.1,15.0,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Back,6.09,2.1,15.0,14.1,,,,,1.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529239.0,380,39,16,495,85.9,85.0,39,"[91, 60]",True,404776.0,,,,,,,,,,,,FirstHalf,BlockedPass,Successful,Left,,,,,,,,,,305.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
