id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,card_type,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndX,Length,PassEndY,Zone,Chipped,Longball,Offensive,OppositeRelatedEvent,Defensive,HeadPass,ThrowIn,Foul,FreekickTaken,GoalKick,Head,LayOff,KeeperThrow,Cross,RightFoot,MissLeft,MissRight,CornerTaken,StandingSave,LeftFoot,RelatedEventId,Yellow,MissHigh,IntentionalAssist,ShotAssist,KeyPass,BlockedX,SixYardBlock,Blocked,GoalMouthY,LowRight,BlockedY,FirstTouch,Assisted,SmallBoxRight,FromCorner,GoalMouthZ,OutfielderBlock,JerseyNumber,PlayerPosition,FormationSlot,BoxCentre,LowLeft,BigChanceCreated,SmallBoxCentre,BigChance,SetPiece,BlockedCross,BoxLeft,IndividualPlay,RegularPlay,LowCentre,ParriedDanger,DivingSave,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,PlayerCaughtOffside,IndirectFreekickTaken,OverRun,HighClaim,SmallBoxLeft,AerialFoul,OutOfBoxCentre,DirectFreekick,BoxRight
2888276817.0,30,3,0.0,863,26.9,80.8,3,"[91, 117, 30, 35, 38, 215, 218]",True,443793.0,10.0,58.3,,,,,,,,,,FirstHalf,Pass,Successful,3.85,10.0,23.4,58.3,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276829.0,31,3,3.0,863,10.0,58.3,3,"[91, 120, 128, 36, 37, 216, 218]",True,139110.0,64.8,70.3,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.14,64.8,58.1,70.3,Center,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276831.0,31,3,8.0,495,36.1,36.9,3,"[91, 94, 95, 57, 216]",True,362434.0,39.1,11.5,,,,,,,,,,FirstHalf,Clearance,Successful,4.89,39.1,17.6,11.5,Back,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276835.0,32,3,10.0,863,64.5,84.7,3,"[91, 120, 29, 36, 38, 217, 218]",True,502951.0,81.1,53.8,,,,,,,,,,FirstHalf,Pass,Unsuccessful,5.4,81.1,27.3,53.8,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276837.0,32,3,12.0,495,21.5,42.1,3,[93],False,137512.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276839.0,33,3,13.0,495,23.3,42.4,3,"[91, 117, 30, 36, 37, 215, 218]",True,137512.0,30.5,63.3,,,,,,,,,,FirstHalf,Pass,Successful,1.08,30.5,16.1,63.3,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276843.0,34,3,14.0,495,30.5,63.3,3,"[91, 117, 30, 35, 37, 215, 218]",True,404776.0,19.4,66.7,,,,,,,,,,FirstHalf,Pass,Successful,2.95,19.4,11.9,66.7,Back,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276845.0,35,3,16.0,495,19.4,62.6,3,"[91, 117, 30, 36, 37, 216, 218]",True,349932.0,35.0,69.1,,,,,,,,,,FirstHalf,Pass,Successful,0.26,35.0,17.0,69.1,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276847.0,36,3,17.0,495,34.9,70.5,3,"[91, 69]",True,404776.0,,,,,,,,,,,,FirstHalf,BallTouch,Unsuccessful,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276855.0,33,3,18.0,863,69.4,2.8,3,[],False,436048.0,,,,,,,,,,,,FirstHalf,ShieldBallOpp,Successful,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276879.0,35,3,35.0,863,70.0,0.0,3,"[91, 212, 35, 37, 216]",True,407649.0,44.6,7.0,,,,,,,,,,FirstHalf,Pass,Successful,2.94,44.6,27.2,7.0,Back,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276889.0,36,3,37.0,863,42.4,9.0,3,"[91, 117, 30, 35, 37, 216, 218]",True,463416.0,34.1,41.4,,,,,,,,,,FirstHalf,Pass,Successful,1.95,34.1,23.7,41.4,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276891.0,37,3,41.0,863,34.2,51.6,3,"[91, 120, 124, 128, 36, 37, 217, 218]",True,443793.0,85.5,61.3,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.12,85.5,54.3,61.3,Center,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276893.0,38,3,44.0,495,14.0,41.1,3,[93],False,136220.0,,,,,,,,,,,,FirstHalf,KeeperPickup,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276895.0,39,3,48.0,495,14.0,39.3,3,"[91, 36, 38, 215, 218]",True,136220.0,19.2,31.6,,,,,,,,,,FirstHalf,Pass,Successful,5.52,19.2,7.6,31.6,Back,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
